"state_name","race_grp","pop_share_agg","pop_weighted"
"New Mexico","Hispanic",0.436496788707909,352401.218602694
"New Mexico","White",0.441229575229007,272769.288491376
"New Mexico","American Indian or Alaska Native",0.0760959223175723,63493.368489998
"New Mexico","Asian",0.0160265433139346,13594.7564563183
"New Mexico","Other",0.0118215339754588,10297.6131479306
"New Mexico","Black",0.0179811134164127,13924.0613503655
"New Mexico","Native Hawaiian or Other Pacific Islander",0.000348523039706058,304.986751011344
"North Carolina","White",0.704477441092253,1191188.09327381
"North Carolina","Asian",0.0242496647765535,53369.5041013627
"North Carolina","Black",0.192882591316615,363527.008011701
"North Carolina","Hispanic",0.0560380370861713,132581.24248497
"North Carolina","Other",0.0120429476253967,25909.4281035077
"North Carolina","Native Hawaiian or Other Pacific Islander",0.000396415600009114,971.242752989718
"North Carolina","American Indian or Alaska Native",0.00991290250300155,18771.9091273677
"North Dakota","White",0.894053450217248,69563.1334957457
"North Dakota","Other",0.0130988353321647,1201.4942408336
"North Dakota","American Indian or Alaska Native",0.0374795296091898,3234.2787439274
"North Dakota","Hispanic",0.0227038147633963,2327.48093503
"North Dakota","Asian",0.0116613004514801,1159.23105518163
"North Dakota","Black",0.0185300726988002,1794.18885194861
"North Dakota","Native Hawaiian or Other Pacific Islander",0.00247299692772129,223.432424708103
"Ohio","Hispanic",0.0253167416215783,29208.732588148
"Ohio","White",0.837602765603525,794039.189811986
"Ohio","Black",0.104500454901532,107684.839280902
"Ohio","Asian",0.0193372489572093,21305.4168789554
"Ohio","Other",0.0113595922402821,13345.8171438032
"Ohio","American Indian or Alaska Native",0.0014472241665138,1526.80973927446
"Ohio","Native Hawaiian or Other Pacific Islander",0.000435972509359032,364.953112741154
"Oklahoma","White",0.726520965268174,486841.753284653
"Oklahoma","Black",0.0609509997543389,42682.674246081
"Oklahoma","Hispanic",0.0728061238122051,54002.967159772
"Oklahoma","American Indian or Alaska Native",0.0665944701055923,46601.1011739148
"Oklahoma","Other",0.0518757727687644,37233.2816803934
"Oklahoma","Asian",0.0202899105197141,14475.1502110249
"Oklahoma","Native Hawaiian or Other Pacific Islander",0.000961757771211564,741.871187714854
"Oregon","Hispanic",0.0840512537934917,38285.1919191919
"Oregon","White",0.824395708380465,282933.556976632
"Oregon","Black",0.0139889508012106,5826.4707507277
"Oregon","Other",0.0242100167939258,10385.4254075444
"Oregon","American Indian or Alaska Native",0.00900582053667905,3397.81265385934
"Oregon","Asian",0.0421630471631362,17226.3775182295
"Oregon","Native Hawaiian or Other Pacific Islander",0.00218520253109195,916.811238461831
"Pennsylvania","White",0.825590645818669,583077.701431617
"Pennsylvania","Black",0.0860395499194078,62746.9692429596
"Pennsylvania","Hispanic",0.0480048609573681,35999.525577786
"Pennsylvania","Asian",0.0292804319263291,21656.4433424713
"Pennsylvania","Other",0.00972139143181463,7138.75454262581
"Pennsylvania","American Indian or Alaska Native",0.00124818154699497,916.467237561375
"Pennsylvania","Native Hawaiian or Other Pacific Islander",0.000114938399416462,91.5651141753925
"Rhode Island","White",0.799357702779783,97673.3333425191
"Rhode Island","Hispanic",0.108115067488011,15184.2445646729
"Rhode Island","Asian",0.0295423387952678,4127.2852854674
"Rhode Island","Other",0.0130982062381524,1949.16202472874
"Rhode Island","Black",0.0471086673523905,6309.54778387476
"Rhode Island","American Indian or Alaska Native",0.0026414698798988,354.271178816562
"Rhode Island","Native Hawaiian or Other Pacific Islander",0.00013654746649668,19.7467426738478
"South Carolina","Black",0.232711157193525,177610.610027076
"South Carolina","White",0.707464555459247,560879.360988491
"South Carolina","Hispanic",0.0334488165728726,23631.948447697
"South Carolina","American Indian or Alaska Native",0.0035144884737001,2724.69939533188
"South Carolina","Asian",0.0136776864231949,10145.2973759628
"South Carolina","Other",0.00842691316086324,6017.07409711467
"South Carolina","Native Hawaiian or Other Pacific Islander",0.000756382716597856,487.272986045176
"South Dakota","White",0.874630311491019,83248.862496586
"South Dakota","Hispanic",0.0258362734590887,2367.83488427
"South Dakota","Black",0.0167057096471775,1631.77051622304
"South Dakota","Other",0.0129637483563668,1325.88208403128
"South Dakota","American Indian or Alaska Native",0.0577964758922343,5682.17779253898
